matrix, rownum, colnum, nnzR, rec_time, spmv_time, time, GFlops, process, thread
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 0.000000, 17.490000, 17.490000, 8.879571, 1, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 0.031000, 18.658000, 18.689000, 8.309899, 2, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 0.028000, 18.444000, 18.472000, 8.407519, 2, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 0.094000, 14.023000, 14.117000, 11.001183, 8, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 3.569000, 6.097000, 9.666000, 16.067007, 16, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 1.613000, 3.434000, 5.047000, 30.771487, 32, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 0.000000, 20.428000, 20.428000, 7.016480, 1, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 0.026000, 10.830000, 10.856000, 13.203081, 8, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 0.017000, 12.058000, 12.075000, 11.870199, 2, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 0.006000, 14.327000, 14.333000, 10.000185, 2, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 0.761000, 5.736000, 6.497000, 22.061359, 16, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 1.153000, 3.172000, 4.325000, 33.140497, 32, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 0.000000, 18.612000, 18.612000, 5.215877, 1, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 0.042000, 5.144000, 5.186000, 18.719226, 8, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 0.009000, 8.583000, 8.592000, 11.298639, 2, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 0.009000, 8.386000, 8.395000, 11.563777, 2, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 0.673000, 2.645000, 3.318000, 29.257958, 16, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.000000, 34.459000, 34.459000, 1.475563, 1, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 1.330000, 1.669000, 2.999000, 32.370091, 32, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.023000, 18.617000, 18.640000, 2.727812, 8, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.003000, 27.253000, 27.256000, 1.865513, 2, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.003000, 26.903000, 26.906000, 1.889780, 2, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.168000, 4.853000, 5.021000, 10.126750, 16, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.385000, 2.057000, 2.442000, 20.821627, 32, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.000000, 15.507000, 15.507000, 6.000190, 1, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.006000, 8.973000, 8.979000, 10.362507, 2, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.005000, 14.837000, 14.842000, 6.269030, 2, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.016000, 8.715000, 8.731000, 10.656849, 8, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.254000, 2.938000, 3.192000, 29.149420, 16, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 0.000000, 8.357000, 8.357000, 6.869612, 1, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 0.046000, 3.314000, 3.360000, 17.086114, 8, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 0.032000, 5.679000, 5.711000, 10.052415, 2, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 0.017000, 9.636000, 9.653000, 5.947306, 2, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 1.263000, 2.375000, 3.638000, 15.780468, 16, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 0.622000, 1.396000, 2.018000, 46.107507, 32, 4
../matrix/rajat31.mtx, 4690002, 4690002, 20316253, 0.000000, 10.617000, 10.617000, 3.827117, 1, 4
