filename, m, n, nnzR, pre_time
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 5674.420000
../matrix/bone010.mtx, 986703, 986703, 71666325, 4995.151000
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 4025.197000
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 8949.468000
../matrix/ldoor.mtx, 952203, 952203, 46522475, 2945.207000
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 3480.729000
../matrix/rajat31.mtx, 4690002, 4690002, 20316253, 3892.936000
../matrix/rgg_n_2_21_s0.mtx, 2097152, 2097152, 28975990, 2501.202000
../matrix/road_central.mtx, 14081816, 14081816, 33866826, 16281.062000
../matrix/inline_1.mtx, 503712, 503712, 36816342, 2172.053000
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 15127.859000
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 9715.319000
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 4583.457000
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 5190.945000
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 685.874000
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 4391.454000
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 4811.554000
../matrix/M6.mtx, 3501776, 3501776, 21003872, 4545.299000
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 5383.401000
../matrix/cant.mtx, 62451, 62451, 4007383, 394.945000
