 filename, receiver, sender, num
./matrix/road_central.mtx, 4, 7, 0
./matrix/road_central.mtx, 2, 7, 0
./matrix/road_central.mtx, 1, 7, 0
./matrix/road_central.mtx, 6, 7, 343
./matrix/road_central.mtx, 4, 6, 45
./matrix/road_central.mtx, 2, 6, 0
./matrix/road_central.mtx, 1, 6, 78
./matrix/road_central.mtx, 6, 6, 0
./matrix/road_central.mtx, 4, 5, 166
./matrix/road_central.mtx, 2, 5, 0
./matrix/road_central.mtx, 1, 5, 0
./matrix/road_central.mtx, 6, 5, 137
./matrix/road_central.mtx, 4, 4, 0
./matrix/road_central.mtx, 2, 4, 0
./matrix/road_central.mtx, 1, 4, 2
./matrix/road_central.mtx, 6, 4, 45
./matrix/road_central.mtx, 4, 3, 15
./matrix/road_central.mtx, 2, 3, 297
./matrix/road_central.mtx, 1, 3, 24
./matrix/road_central.mtx, 6, 3, 23
./matrix/road_central.mtx, 4, 2, 0
./matrix/road_central.mtx, 2, 2, 0
./matrix/road_central.mtx, 1, 2, 167
./matrix/road_central.mtx, 6, 2, 0
./matrix/road_central.mtx, 4, 1, 2
./matrix/road_central.mtx, 2, 1, 172
./matrix/road_central.mtx, 1, 1, 0
./matrix/road_central.mtx, 6, 1, 79
./matrix/road_central.mtx, 4, 0, 1
./matrix/road_central.mtx, 2, 0, 1
./matrix/road_central.mtx, 5, 7, 0
./matrix/road_central.mtx, 1, 0, 105
./matrix/road_central.mtx, 6, 0, 0
./matrix/road_central.mtx, 5, 6, 173
./matrix/road_central.mtx, 5, 5, 0
./matrix/road_central.mtx, 5, 4, 146
./matrix/road_central.mtx, 5, 3, 1
./matrix/road_central.mtx, 5, 2, 0
./matrix/road_central.mtx, 5, 1, 0
./matrix/road_central.mtx, 5, 0, 0
./matrix/road_central.mtx, 7, 7, 0
./matrix/road_central.mtx, 7, 6, 231
./matrix/road_central.mtx, 7, 5, 0
./matrix/road_central.mtx, 7, 4, 0
./matrix/road_central.mtx, 7, 3, 110
./matrix/road_central.mtx, 7, 2, 0
./matrix/road_central.mtx, 7, 1, 0
./matrix/road_central.mtx, 7, 0, 0
./matrix/road_central.mtx, 3, 7, 109
./matrix/road_central.mtx, 3, 6, 23
./matrix/road_central.mtx, 3, 5, 1
./matrix/road_central.mtx, 3, 4, 36
./matrix/road_central.mtx, 3, 3, 0
./matrix/road_central.mtx, 3, 2, 284
./matrix/road_central.mtx, 3, 1, 24
./matrix/road_central.mtx, 3, 0, 0
./matrix/road_central.mtx, 0, 7, 0
./matrix/road_central.mtx, 0, 6, 0
./matrix/road_central.mtx, 0, 5, 0
./matrix/road_central.mtx, 0, 4, 1
./matrix/road_central.mtx, 0, 3, 0
./matrix/road_central.mtx, 0, 2, 1
./matrix/road_central.mtx, 0, 1, 110
./matrix/road_central.mtx, 0, 0, 0
./matrix/inline_1.mtx, 6, 7, 1536
./matrix/inline_1.mtx, 6, 6, 0
./matrix/inline_1.mtx, 6, 5, 822
./matrix/inline_1.mtx, 6, 4, 0
./matrix/inline_1.mtx, 6, 3, 0
./matrix/inline_1.mtx, 6, 2, 0
./matrix/inline_1.mtx, 6, 1, 1284
./matrix/inline_1.mtx, 6, 0, 0
./matrix/inline_1.mtx, 3, 7, 0
./matrix/inline_1.mtx, 3, 6, 0
./matrix/inline_1.mtx, 3, 5, 282
./matrix/inline_1.mtx, 3, 4, 5955
./matrix/inline_1.mtx, 3, 3, 0
./matrix/inline_1.mtx, 7, 7, 0
./matrix/inline_1.mtx, 3, 2, 1899
./matrix/inline_1.mtx, 1, 7, 0
./matrix/inline_1.mtx, 7, 6, 732
./matrix/inline_1.mtx, 5, 7, 225
./matrix/inline_1.mtx, 3, 1, 21
./matrix/inline_1.mtx, 1, 6, 1347
./matrix/inline_1.mtx, 7, 5, 240
./matrix/inline_1.mtx, 5, 6, 6282
./matrix/inline_1.mtx, 3, 0, 2271
./matrix/inline_1.mtx, 1, 5, 279
./matrix/inline_1.mtx, 7, 4, 0
./matrix/inline_1.mtx, 5, 5, 0
./matrix/inline_1.mtx, 1, 4, 0
./matrix/inline_1.mtx, 7, 3, 0
./matrix/inline_1.mtx, 5, 4, 1056
./matrix/inline_1.mtx, 1, 3, 168
./matrix/inline_1.mtx, 7, 2, 0
./matrix/inline_1.mtx, 5, 3, 204
./matrix/inline_1.mtx, 1, 2, 8181
./matrix/inline_1.mtx, 7, 1, 0
./matrix/inline_1.mtx, 5, 2, 576
./matrix/inline_1.mtx, 1, 1, 0
./matrix/inline_1.mtx, 7, 0, 0
./matrix/inline_1.mtx, 5, 1, 861
./matrix/inline_1.mtx, 1, 0, 1983
./matrix/inline_1.mtx, 5, 0, 0
./matrix/inline_1.mtx, 2, 7, 0
