filename, m, n, nnzR, pre_time
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 4607.040000
../matrix/bone010.mtx, 986703, 986703, 71666325, 4145.821000
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 3342.330000
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 11430.066000
../matrix/ldoor.mtx, 952203, 952203, 46522475, 2721.321000
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 3271.635000
../matrix/rajat31.mtx, 4690002, 4690002, 20316253, 4377.277000
../matrix/rgg_n_2_21_s0.mtx, 2097152, 2097152, 28975990, 2411.677000
../matrix/road_central.mtx, 14081816, 14081816, 33866826, 17473.508000
../matrix/inline_1.mtx, 503712, 503712, 36816342, 1963.222000
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 16720.487000
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 10274.086000
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 6044.081000
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 5517.103000
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 803.416000
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 3933.004000
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 4127.675000
../matrix/M6.mtx, 3501776, 3501776, 21003872, 3921.394000
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 4544.665000
../matrix/cant.mtx, 62451, 62451, 4007383, 392.182000
